	Wolf1_S70	Wolf10_S79	Wolf11_S80	Wolf12_S81	Wolf13_S82	Wolf14_S83	Wolf15_S84	Wolf16_S85	Wolf17_S86	Wolf18_S87	Wolf19_S88	Wolf2_S71	Wolf20_S89	Wolf21_S90	Wolf22_S91	Wolf23_S92	Wolf24_S93	Wolf25_S94	Wolf3_S72	Wolf4_S73	Wolf5_S74	Wolf6_S75	Wolf7_S76	Wolf8_S77	Wolf9_S78
ASV 163 _	0	0	0	0	0	6	0	0	0	0	0	0	0	0	172	0	0	0	82	0	13	28	9	0	0
ASV 164 _	0	0	0	4	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0
ASV 165 _	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 166 _	0	0	0	55	0	0	22	0	27	0	0	0	0	0	0	0	7	0	0	0	88	44	0	0	55
ASV 167 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	176	23	0	3
ASV 168 _	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	196	0	0	0
ASV 169 _	0	0	0	0	0	13	0	0	0	0	0	64	0	0	140	0	3	0	55	0	0	0	2	0	13
ASV 170 _	0	0	0	0	0	0	9	0	0	0	0	0	19	24	0	0	0	0	0	0	38	100	39	38	21
ASV 171 _	3	42	47	31	0	0	0	0	2	0	0	60	0	0	0	0	0	0	0	0	5	16	12	0	68
ASV 172 _	0	44	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	9	1	0	0	0
ASV 173 _	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0
ASV 174 _	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV 175 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0
ASV 176 _	0	0	0	0	0	0	5	0	112	100	0	0	0	0	0	29	18	0	0	0	0	4	9	0	0
ASV 177 _	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	242	1	23
ASV 178 _	0	0	0	2	0	0	0	0	2	0	0	117	0	0	0	0	0	44	73	0	0	0	0	0	32
ASV 179 _	0	256	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV 180 _	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 181 _	0	0	0	0	0	0	0	0	148	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 182 _	0	0	0	21	0	0	0	63	1	0	0	91	0	0	0	0	2	0	0	0	29	52	0	0	0
ASV 183 _	11	0	58	0	0	0	46	0	30	20	0	0	0	0	0	0	3	0	0	0	18	37	4	0	30
ASV 184 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	84	1	0	0
ASV 185 _	0	0	0	0	0	0	23	5	4	0	6	0	181	0	0	1	17	16	0	0	0	0	0	0	0
ASV 186 _	0	9	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	6	3	16	0	0
ASV 187 _	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 188 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	62	0	0	0
ASV 189 _	0	0	0	0	0	0	0	59	0	0	0	0	22	0	0	0	0	0	0	0	109	58	0	0	0
ASV 190 _	0	0	12	0	0	0	15	0	1	0	0	0	0	12	0	0	123	0	0	0	4	10	23	0	44
ASV 191 _	0	0	0	71	0	0	100	0	0	0	0	0	0	50	0	0	4	0	19	0	0	0	0	0	0
ASV 192 _	0	0	0	0	0	0	5	0	0	0	104	0	0	11	0	0	0	0	0	0	17	59	31	9	0
ASV 193 _	0	0	0	0	0	0	0	0	109	110	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV 194 _	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 195 _	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 196 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	67	0	0	0
ASV 197 _	0	167	5	0	0	0	9	18	15	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV 198 _	0	0	0	147	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 199 _	0	0	0	102	0	0	1	0	17	0	0	34	0	7	0	0	14	0	1	0	0	0	0	0	49
ASV 200 _	4	0	0	0	0	0	0	0	121	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 201 _	0	20	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	8	0	0
ASV 202 _	0	0	19	0	0	0	0	0	88	93	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
ASV 203 _	0	0	0	89	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	18	37	0	0	18
ASV 204 _	0	0	0	0	0	0	0	0	101	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 205 _	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 206 _	0	123	10	12	35	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	16	0	11
ASV 207 _	6	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	47	152	0	0	0
ASV 208 _	3	0	0	0	0	0	21	0	16	4	59	0	0	15	0	14	17	0	0	0	11	23	31	0	0
ASV 209 _	0	0	0	30	0	0	0	0	69	72	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ASV 210 _	3	0	0	0	0	0	10	141	0	0	0	0	0	0	0	0	12	0	0	0	8	18	14	0	0
ASV 211 _	0	0	0	0	0	0	0	0	108	97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV 212 _	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 213 _	3	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ASV 214 _	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 215 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0
ASV 216 _	0	0	0	0	0	0	0	0	94	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 217 _	0	0	0	0	0	0	25	162	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	0
ASV 218 _	0	0	0	0	0	0	2	20	4	0	0	0	0	3	0	0	31	0	0	0	26	45	6	0	61
ASV 219 _	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 220 _	0	0	26	0	0	0	12	0	19	3	0	0	0	8	0	0	4	50	0	0	7	52	11	0	0
